Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu000/without_induced.txt
At local time: 11:37:43,  07/13/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 5.00e+07
tau       = 2.40e+00
lb        = 1.62e-02
beta      = 2.91e+08
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 1.57e-01
lnth      = 0.00e+00
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        SPECTRUM         Compton          Synchrotron      Error           
-----------------------------------------------
0142    1.0830759e-05    1.0859610e-05    1.0888615e-05    5.0964738e+26   -4.5396519e+26    9.6361261e+26    0.0000000e+00
0143    1.0888615e-05    1.0917621e-05    1.0946780e-05    5.1785855e+26   -4.6037694e+26    9.7823541e+26    1.1022516e+20
0144    1.0946780e-05    1.0975940e-05    1.1005256e-05    5.2620186e+26   -4.6689115e+26    9.9309301e+26    0.0000000e+00
0145    1.1005256e-05    1.1034572e-05    1.1064044e-05    5.3467958e+26   -4.7350966e+26    1.0081892e+27    0.0000000e+00
0146    1.1064044e-05    1.1093517e-05    1.1123147e-05    5.4329402e+26   -4.8023453e+26    1.0235285e+27    0.0000000e+00
0147    1.1123147e-05    1.1152776e-05    1.1182564e-05    5.5204715e+26   -4.8706735e+26    1.0391145e+27    0.0000000e+00
0148    1.1182564e-05    1.1212353e-05    1.1242299e-05    5.6094132e+26   -4.9401037e+26    1.0549517e+27    1.1625677e+20
0149    1.1242299e-05    1.1272246e-05    1.1302353e-05    5.6997879e+26   -5.0106533e+26    1.0710442e+27    0.0000000e+00
0150    1.1302353e-05    1.1332460e-05    1.1362729e-05    5.7916184e+26   -5.0823451e+26    1.0873964e+27    0.0000000e+00
0151    1.1362729e-05    1.1392997e-05    1.1423426e-05    5.8849290e+26   -5.1551987e+26    1.1040128e+27    0.0000000e+00
0152    1.1423426e-05    1.1453857e-05    1.1484449e-05    5.9797430e+26   -5.2292354e+26    1.1208978e+27    0.0000000e+00
0153    1.1484449e-05    1.1515041e-05    1.1545797e-05    6.0760841e+26   -5.3044764e+26    1.1380560e+27    1.2261842e+20
0154    1.1545797e-05    1.1576552e-05    1.1607473e-05    6.1739766e+26   -5.3809444e+26    1.1554922e+27    0.0000000e+00
0155    1.1607473e-05    1.1638392e-05    1.1669477e-05    6.2734477e+26   -5.4586635e+26    1.1732112e+27    0.0000000e+00
0156    1.1669477e-05    1.1700562e-05    1.1731813e-05    6.3745211e+26   -5.5376558e+26    1.1912176e+27    0.0000000e+00
0157    1.1731813e-05    1.1763065e-05    1.1794483e-05    6.4772230e+26   -5.6179445e+26    1.2095167e+27    0.0000000e+00
0158    1.1794483e-05    1.1825901e-05    1.1857486e-05    6.5815791e+26   -5.6995547e+26    1.2281135e+27    0.0000000e+00
0159    1.1857486e-05    1.1889072e-05    1.1920827e-05    6.6876162e+26   -5.7825123e+26    1.2470129e+27    0.0000000e+00
0160    1.1920827e-05    1.1952582e-05    1.1984506e-05    6.7953621e+26   -5.8668416e+26    1.2662204e+27    0.0000000e+00
0161    1.1984506e-05    1.2016430e-05    1.2048526e-05    6.9048443e+26   -5.9525466e+26    1.2857391e+27    0.0000000e+00
0162    1.2048526e-05    1.2080621e-05    1.2112886e-05    7.0160907e+26   -6.0396241e+26    1.3055714e+27    0.0000000e+00
0163    1.2112886e-05    1.2145153e-05    1.2177591e-05    7.1291287e+26   -6.1280977e+26    1.3257226e+27    0.0000000e+00
0164    1.2177591e-05    1.2210030e-05    1.2242642e-05    7.2439870e+26   -6.2179916e+26    1.3461978e+27    0.0000000e+00
0165    1.2242642e-05    1.2275254e-05    1.2308040e-05    7.3606966e+26   -6.3093310e+26    1.3670029e+27    0.0000000e+00
0166    1.2308040e-05    1.2340826e-05    1.2373788e-05    7.4792870e+26   -6.4021410e+26    1.3881427e+27    1.4083584e+20
0167    1.2373788e-05    1.2406749e-05    1.2439886e-05    7.5997885e+26   -6.4964474e+26    1.4096236e+27    0.0000000e+00
0168    1.2439886e-05    1.2473024e-05    1.2506338e-05    7.7222306e+26   -6.5922775e+26    1.4314508e+27    0.0000000e+00
0169    1.2506338e-05    1.2539652e-05    1.2573144e-05    7.8466450e+26   -6.6896564e+26    1.4536303e+27    0.0000000e+00
0170    1.2573144e-05    1.2606637e-05    1.2640308e-05    7.9730650e+26   -6.7886128e+26    1.4761678e+27    0.0000000e+00
0171    1.2640308e-05    1.2673980e-05    1.2707830e-05    8.1015215e+26   -6.8891749e+26    1.4990696e+27    0.0000000e+00
0172    1.2707830e-05    1.2741682e-05    1.2775713e-05    8.2320470e+26   -6.9913706e+26    1.5223416e+27    1.5013372e+20
0173    1.2775713e-05    1.2809745e-05    1.2843959e-05    8.3646754e+26   -7.0952280e+26    1.5459903e+27    0.0000000e+00
