Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu000/BSC_avecinduit.txt
At local time: 19:03:04,  08/12/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 6.03e+05
tau       = 6.82e+00
lb        = 0.00e+00
beta      = ********
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 2.12e-01
lnth      = 0.00e+00
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        SPECTRUM         Compton          Brems ep         Error           
-----------------------------------------------
0093    8.3422874e-06    8.3645091e-06    8.3868499e-06    2.1083911e+18   -1.0519411e+28    1.0519407e+28    3.9957191e+21
0094    8.3868499e-06    8.4091907e-06    8.4316516e-06    2.1609239e+18   -1.0572356e+28    1.0572354e+28    3.2308174e+21
0095    8.4316516e-06    8.4541107e-06    8.4766916e-06    2.2148100e+18   -1.0625569e+28    1.0625565e+28    3.2654264e+21
0096    8.4766916e-06    8.4992716e-06    8.5219726e-06    2.2700815e+18   -1.0679049e+28    1.0679045e+28    3.3004064e+21
0097    8.5219726e-06    8.5446727e-06    8.5674956e-06    2.3267689e+18   -1.0732795e+28    1.0732791e+28    3.3357608e+21
0098    8.5674956e-06    8.5903175e-06    8.6132623e-06    2.3849056e+18   -1.0786813e+28    1.0786809e+28    3.3714943e+21
0099    8.6132623e-06    8.6362052e-06    8.6592718e-06    2.4445233e+18   -1.0841100e+28    1.0841097e+28    3.4076104e+21
0100    8.6592718e-06    8.6823384e-06    8.7055287e-06    2.5056548e+18   -1.0895659e+28    1.0895655e+28    3.4441132e+21
0101    8.7055287e-06    8.7287181e-06    8.7520320e-06    2.5683311e+18   -1.0950494e+28    1.0950490e+28    3.4810075e+21
0102    8.7520320e-06    8.7753460e-06    8.7987837e-06    2.6325827e+18   -1.1005603e+28    1.1005599e+28    3.5182968e+21
0103    8.7987837e-06    8.8222223e-06    8.8457855e-06    2.6984519e+18   -1.1060987e+28    1.1060983e+28    3.5559854e+21
0104    8.8457855e-06    8.8693487e-06    8.8930374e-06    2.7660444e+18   -1.1116649e+28    1.1116645e+28    3.5940780e+21
0105    8.8930374e-06    8.9167270e-06    8.9405430e-06    2.8354187e+18   -1.1172589e+28    1.1172585e+28    3.6325781e+21
0106    8.9405430e-06    8.9643581e-06    8.9883015e-06    2.9066200e+18   -1.1228811e+28    1.1228808e+28    3.6714909e+21
0107    8.9883015e-06    9.0122439e-06    9.0363155e-06    2.9796969e+18   -1.1285313e+28    1.1285308e+28    3.7108203e+21
0108    9.0363155e-06    9.0603871e-06    9.0845861e-06    3.0546970e+18   -1.1342101e+28    1.1342097e+28    3.7505719e+21
0109    9.0845861e-06    9.1087850e-06    9.1331140e-06    3.1316656e+18   -1.1399171e+28    1.1399167e+28    3.7907482e+21
0110    9.1331140e-06    9.1574429e-06    9.1819020e-06    3.2106539e+18   -1.1456527e+28    1.1456524e+28    3.8313555e+21
0111    9.1819020e-06    9.2063601e-06    9.2309492e-06    3.2917097e+18   -1.1514172e+28    1.1514167e+28    3.8723976e+21
0112    9.2309492e-06    9.2555392e-06    9.2802602e-06    3.3748830e+18   -1.1572106e+28    1.1572101e+28    3.9138797e+21
0113    9.2802602e-06    9.3049812e-06    9.3298331e-06    3.4602227e+18   -1.1630330e+28    1.1630327e+28    3.9558063e+21
0114    9.3298331e-06    9.3546860e-06    9.3796716e-06    3.5477780e+18   -1.1688843e+28    1.1688839e+28    3.9981806e+21
0115    9.3796716e-06    9.4046572e-06    9.4297766e-06    3.6375998e+18   -1.1747653e+28    1.1747649e+28    3.0307576e+21
0116    9.4297766e-06    9.4548950e-06    9.4801489e-06    3.7297350e+18   -1.1806756e+28    1.1806751e+28    4.0842982e+21
0117    9.4801489e-06    9.5054020e-06    9.5307905e-06    3.8242345e+18   -1.1866156e+28    1.1866152e+28    4.1280504e+21
0118    9.5307905e-06    9.5561782e-06    9.5817013e-06    3.9211449e+18   -1.1925853e+28    1.1925849e+28    4.1722706e+21
0119    9.5817013e-06    9.6072254e-06    9.6328858e-06    4.0205146e+18   -1.1985849e+28    1.1985845e+28    4.2169647e+21
0120    9.6328858e-06    9.6585454e-06    9.6843423e-06    4.1224003e+18   -1.2046147e+28    1.2046142e+28    4.2621377e+21
0121    9.6843423e-06    9.7101392e-06    9.7360744e-06    4.2269949e+18   -1.2106745e+28    1.2106740e+28    4.3077944e+21
0122    9.7360744e-06    9.7620095e-06    9.7880829e-06    4.3344065e+18   -1.2167646e+28    1.2167642e+28    3.2654551e+21
0123    9.7880829e-06    9.8141563e-06    9.8403698e-06    4.4447081e+18   -1.2228855e+28    1.2228851e+28    3.3004354e+21
0124    9.8403698e-06    9.8665814e-06    9.8929349e-06    4.5579757e+18   -1.2290367e+28    1.2290365e+28    3.3357901e+21
0125    9.8929349e-06    9.9192875e-06    9.9457811e-06    4.6742878e+18   -1.2352191e+28    1.2352188e+28    3.3715236e+21
0126    9.9457811e-06    9.9722747e-06    9.9989093e-06    4.7937228e+18   -1.2414323e+28    1.2414319e+28    4.5435201e+21
0127    9.9989093e-06    1.0025545e-05    1.0052322e-05    4.9163607e+18   -1.2476767e+28    1.2476764e+28    3.4441436e+21
0128    1.0052322e-05    1.0079099e-05    1.0106020e-05    5.0422773e+18   -1.2539522e+28    1.2539519e+28    3.4810376e+21
0129    1.0106020e-05    1.0132941e-05    1.0160004e-05    5.1715584e+18   -1.2602594e+28    1.2602590e+28    3.5183274e+21
0130    1.0160004e-05    1.0187068e-05    1.0214277e-05    5.3042810e+18   -1.2665980e+28    1.2665976e+28    3.5560161e+21
0131    1.0214277e-05    1.0241486e-05    1.0268840e-05    5.4405292e+18   -1.2729684e+28    1.2729680e+28    4.7921453e+21
0132    1.0268840e-05    1.0296194e-05    1.0323694e-05    5.5803822e+18   -1.2793707e+28    1.2793702e+28    4.8434795e+21
0133    1.0323694e-05    1.0351195e-05    1.0378842e-05    5.7239212e+18   -1.2858050e+28    1.2858045e+28    4.8953633e+21
0134    1.0378842e-05    1.0406489e-05    1.0434284e-05    5.8712283e+18   -1.2922717e+28    1.2922712e+28    4.9478037e+21
0135    1.0434284e-05    1.0462079e-05    1.0490022e-05    6.0223803e+18   -1.2987707e+28    1.2987701e+28    5.0008055e+21
0136    1.0490022e-05    1.0517965e-05    1.0546058e-05    6.1774582e+18   -1.3053024e+28    1.3053019e+28    5.0543758e+21
0137    1.0546058e-05    1.0574150e-05    1.0602394e-05    6.3365350e+18   -1.3118664e+28    1.3118661e+28    3.8313890e+21
0138    1.0602394e-05    1.0630636e-05    1.0659030e-05    6.4996893e+18   -1.3184637e+28    1.3184632e+28    5.1632424e+21
0139    1.0659030e-05    1.0687422e-05    1.0715968e-05    6.6669998e+18   -1.3250938e+28    1.3250933e+28    5.2185517e+21
0140    1.0715968e-05    1.0744513e-05    1.0773211e-05    6.8388271e+18   -1.3317571e+28    1.3317566e+28    3.9558400e+21
0141    1.0773211e-05    1.0801909e-05    1.0830759e-05    7.0154004e+18   -1.3384540e+28    1.3384535e+28    3.9982164e+21
0142    1.0830759e-05    1.0859610e-05    1.0888615e-05    7.1968418e+18   -1.3451842e+28    1.3451838e+28    4.0410456e+21
0143    1.0888615e-05    1.0917621e-05    1.0946780e-05    7.3832915e+18   -1.3519482e+28    1.3519478e+28    5.4457791e+21
0144    1.0946780e-05    1.0975940e-05    1.1005256e-05    7.5748825e+18   -1.3587460e+28    1.3587456e+28    4.1280864e+21
0145    1.1005256e-05    1.1034572e-05    1.1064044e-05    7.7717512e+18   -1.3655778e+28    1.3655773e+28    4.1723067e+21
0146    1.1064044e-05    1.1093517e-05    1.1123147e-05    7.9740360e+18   -1.3724440e+28    1.3724437e+28    4.2170018e+21
