Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu_BSC_sansinduit/BSC_sansinduit.txt
At local time: 16:37:44,  07/29/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 6.03e+05
tau       = 6.82e+00
lb        = 0.00e+00
beta      = ********
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 2.12e-01
lnth      = 0.00e+00
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        SPECTRUM         Compton          Brems ep         Error           
-----------------------------------------------
0086    8.0369064e-06    8.0583150e-06    8.0798372e-06    4.0176752e+22   -5.1000392e+22    9.1177149e+22    0.0000000e+00
0087    8.0798372e-06    8.1013604e-06    8.1229982e-06    4.0844347e+22   -5.2811578e+22    9.3655930e+22    0.0000000e+00
0088    8.1229982e-06    8.1446369e-06    8.1663902e-06    4.1522918e+22   -5.4639188e+22    9.6162111e+22    0.0000000e+00
0089    8.1663902e-06    8.1881435e-06    8.2100132e-06    4.2212636e+22   -5.6417205e+22    9.8629841e+22    0.0000000e+00
0090    8.2100132e-06    8.2318838e-06    8.2538709e-06    4.2913688e+22   -5.8226918e+22    1.0114061e+23    0.0000000e+00
0091    8.2538709e-06    8.2758570e-06    8.2979614e-06    4.3626252e+22   -6.0078240e+22    1.0370450e+23    0.0000000e+00
0092    8.2979614e-06    8.3200648e-06    8.3422874e-06    4.4350508e+22   -6.1968968e+22    1.0631948e+23    0.0000000e+00
0093    8.3422874e-06    8.3645091e-06    8.3868499e-06    4.5086666e+22   -6.3902688e+22    1.0898935e+23    0.0000000e+00
0094    8.3868499e-06    8.4091907e-06    8.4316516e-06    4.5834908e+22   -6.5881168e+22    1.1171607e+23    1.2324590e+16
0095    8.4316516e-06    8.4541107e-06    8.4766916e-06    4.6595431e+22   -6.7902555e+22    1.1449799e+23    0.0000000e+00
0096    8.4766916e-06    8.4992716e-06    8.5219726e-06    4.7368442e+22   -6.9972945e+22    1.1734140e+23    1.2590051e+16
0097    8.5219726e-06    8.5446727e-06    8.5674956e-06    4.8154136e+22   -7.2090137e+22    1.2024427e+23    0.0000000e+00
0098    8.5674956e-06    8.5903175e-06    8.6132623e-06    4.8952732e+22   -7.4257310e+22    1.2321004e+23    1.2861230e+16
0099    8.6132623e-06    8.6362052e-06    8.6592718e-06    4.9764425e+22   -7.6473319e+22    1.2623774e+23    1.2999002e+16
0100    8.6592718e-06    8.6823384e-06    8.7055287e-06    5.0589430e+22   -7.8743917e+22    1.2933336e+23    1.3138249e+16
0101    8.7055287e-06    8.7287181e-06    8.7520320e-06    5.1427982e+22   -8.1069387e+22    1.3249737e+23    0.0000000e+00
0102    8.7520320e-06    8.7753460e-06    8.7987837e-06    5.2280288e+22   -8.3449720e+22    1.3573000e+23    1.3421237e+16
0103    8.7987837e-06    8.8222223e-06    8.8457855e-06    5.3146560e+22   -8.5870684e+22    1.3901726e+23    1.3565008e+16
0104    8.8457855e-06    8.8693487e-06    8.8930374e-06    5.4027050e+22   -8.8220500e+22    1.4224755e+23    0.0000000e+00
0105    8.8930374e-06    8.9167270e-06    8.9405430e-06    5.4921969e+22   -9.0597896e+22    1.4551986e+23    0.0000000e+00
0106    8.9405430e-06    8.9643581e-06    8.9883015e-06    5.5831566e+22   -9.3024715e+22    1.4885628e+23    0.0000000e+00
0107    8.9883015e-06    9.0122439e-06    9.0363155e-06    5.6756069e+22   -9.5502901e+22    1.5225896e+23    1.4155656e+16
0108    9.0363155e-06    9.0603871e-06    9.0845861e-06    5.7695745e+22   -9.8036140e+22    1.5573188e+23    0.0000000e+00
0109    9.0845861e-06    9.1087850e-06    9.1331140e-06    5.8650801e+22   -1.0062303e+23    1.5927384e+23    0.0000000e+00
0110    9.1331140e-06    9.1574429e-06    9.1819020e-06    5.9621516e+22   -1.0326770e+23    1.6288922e+23    1.4615461e+16
0111    9.1819020e-06    9.2063601e-06    9.2309492e-06    6.0608138e+22   -1.0597019e+23    1.6657831e+23    1.4772025e+16
0112    9.2309492e-06    9.2555392e-06    9.2802602e-06    6.1610936e+22   -1.0873127e+23    1.7034221e+23    0.0000000e+00
0113    9.2802602e-06    9.3049812e-06    9.3298331e-06    6.2630155e+22   -1.1155522e+23    1.7418536e+23    0.0000000e+00
0114    9.3298331e-06    9.3546860e-06    9.3796716e-06    6.3666055e+22   -1.1444078e+23    1.7810684e+23    0.0000000e+00
