Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu000/with_induced.txt
At local time: 11:34:36,  07/13/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 5.00e+07
tau       = 2.40e+00
lb        = 1.62e-02
beta      = 2.91e+08
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 1.57e-01
lnth      = 0.00e+00
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        SPECTRUM         Compton          Synchrotron      Error           
-----------------------------------------------
0147    1.1123147e-05    1.1152776e-05    1.1182564e-05    5.4448517e+26   -6.1196494e+32    6.1196548e+32    0.0000000e+00
0148    1.1182564e-05    1.1212353e-05    1.1242299e-05    5.5325069e+26   -6.0756821e+32    6.0756882e+32    6.0952027e+25
0149    1.1242299e-05    1.1272246e-05    1.1302353e-05    5.6215733e+26   -6.0317487e+32    6.0317541e+32    0.0000000e+00
0150    1.1302353e-05    1.1332460e-05    1.1362729e-05    5.7120741e+26   -5.9878796e+32    5.9878858e+32    6.2264872e+25
0151    1.1362729e-05    1.1392997e-05    1.1423426e-05    5.8040330e+26   -5.9441111e+32    5.9441169e+32    0.0000000e+00
0152    1.1423426e-05    1.1453857e-05    1.1484449e-05    5.8974698e+26   -5.9004718e+32    5.9004783e+32    6.3606011e+25
0153    1.1484449e-05    1.1515041e-05    1.1545797e-05    5.9924101e+26   -5.8569999e+32    5.8570057e+32    0.0000000e+00
0154    1.1545797e-05    1.1576552e-05    1.1607473e-05    6.0888758e+26   -5.8137332e+32    5.8137390e+32    0.0000000e+00
0155    1.1607473e-05    1.1638392e-05    1.1669477e-05    6.1868937e+26   -5.7707128e+32    5.7707194e+32    6.5672060e+25
0156    1.1669477e-05    1.1700562e-05    1.1731813e-05    6.2864851e+26   -5.7279807e+32    5.7279865e+32    0.0000000e+00
0157    1.1731813e-05    1.1763065e-05    1.1794483e-05    6.3876758e+26   -5.6855816e+32    5.6855874e+32    6.7086579e+25
0158    1.1794483e-05    1.1825901e-05    1.1857486e-05    6.4904906e+26   -5.6435636e+32    5.6435702e+32    0.0000000e+00
0159    1.1857486e-05    1.1889072e-05    1.1920827e-05    6.5949538e+26   -5.6019754e+32    5.6019824e+32    3.4265779e+25
0160    1.1920827e-05    1.1952582e-05    1.1984506e-05    6.7010912e+26   -5.5608719e+32    5.5608785e+32    0.0000000e+00
0161    1.1984506e-05    1.2016430e-05    1.2048526e-05    6.8089360e+26   -5.5199712e+32    5.5199781e+32    3.5003836e+25
0162    1.2048526e-05    1.2080621e-05    1.2112886e-05    6.9185192e+26   -5.4789126e+32    5.4789195e+32    0.0000000e+00
0163    1.2112886e-05    1.2145153e-05    1.2177591e-05    7.0298697e+26   -5.4377189e+32    5.4377255e+32    3.5757789e+25
0164    1.2177591e-05    1.2210030e-05    1.2242642e-05    7.1430161e+26   -5.3964050e+32    5.3964124e+32    0.0000000e+00
0165    1.2242642e-05    1.2275254e-05    1.2308040e-05    7.2579873e+26   -5.3549897e+32    5.3549967e+32    0.0000000e+00
0166    1.2308040e-05    1.2340826e-05    1.2373788e-05    7.3748113e+26   -5.3134924e+32    5.3134998e+32    0.0000000e+00
0167    1.2373788e-05    1.2406749e-05    1.2439886e-05    7.4935205e+26   -5.2719410e+32    5.2719487e+32    0.0000000e+00
0168    1.2439886e-05    1.2473024e-05    1.2506338e-05    7.6141423e+26   -5.2303547e+32    5.2303620e+32    0.0000000e+00
0169    1.2506338e-05    1.2539652e-05    1.2573144e-05    7.7367083e+26   -5.1887568e+32    5.1887646e+32    0.0000000e+00
0170    1.2573144e-05    1.2606637e-05    1.2640308e-05    7.8612490e+26   -5.1471798e+32    5.1471876e+32    0.0000000e+00
0171    1.2640308e-05    1.2673980e-05    1.2707830e-05    7.9877973e+26   -5.1056458e+32    5.1056535e+32    3.8939527e+25
