Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu000/synch_escape.txt
At local time: 21:32:11,  07/01/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 5.00e+07
tau       = 2.40e+00
lb        = 1.61e-02
beta      = 2.91e+08
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 1.57e-01
lnth      = 9.50e-01
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        SPECTRUM         Synchrotron      Error           
-----------------------------------------------
0146    1.7457411e-03    1.7947073e-03    1.8464995e-03    1.3038003e+17    1.3038003e+17    0.0000000e+00
0147    1.8464995e-03    1.8982920e-03    1.9530735e-03    4.4889985e+16    4.4889985e+16    0.0000000e+00
0148    1.9530735e-03    2.0078551e-03    2.0657987e-03    1.5107831e+16    1.5107831e+16    0.0000000e+00
0149    2.0657987e-03    2.1237419e-03    2.1850299e-03    4.9679334e+15    4.9679334e+15    0.0000000e+00
0150    2.1850299e-03    2.2463175e-03    2.3111426e-03    1.5954146e+15    1.5954146e+15    0.0000000e+00
0151    2.3111426e-03    2.3759676e-03    2.4445341e-03    5.0014421e+14    5.0014421e+14    0.0000000e+00
0152    2.4445341e-03    2.5131009e-03    2.5856246e-03    1.5298096e+14    1.5298096e+14    0.0000000e+00
0153    2.5856246e-03    2.6581485e-03    2.7348585e-03    4.5634535e+13    4.5634535e+13    0.0000000e+00
0154    2.7348585e-03    2.8115683e-03    2.8927056e-03    1.3269519e+13    1.3269519e+13    0.0000000e+00
0155    2.8927056e-03    2.9738427e-03    3.0596631e-03    3.7593319e+12    3.7593319e+12    0.0000000e+00
0156    3.0596631e-03    3.1454833e-03    3.2362570e-03    1.0371609e+12    1.0371609e+12    0.0000000e+00
0157    3.2362570e-03    3.3270305e-03    3.4230431e-03    2.7851253e+11    2.7851253e+11    0.0000000e+00
0158    3.4230431e-03    3.5190559e-03    3.6206099e-03    7.2758919e+10    7.2758919e+10    0.0000000e+00
0159    3.6206099e-03    3.7221643e-03    3.8295798e-03    1.8481891e+10    1.8481891e+10    0.0000000e+00
0160    3.8295798e-03    3.9369953e-03    4.0506106e-03    4.5624305e+09    4.5624305e+09    0.0000000e+00
0161    4.0506106e-03    4.1642259e-03    4.2843986e-03    1.0939606e+09    1.0939606e+09    0.0000000e+00
0162    4.2843986e-03    4.4045714e-03    4.5316801e-03    2.5463792e+08    2.5463792e+08    0.0000000e+00
0163    4.5316801e-03    4.6587889e-03    4.7932337e-03    5.7506424e+07    5.7506424e+07    0.0000000e+00
0164    4.7932337e-03    4.9276790e-03    5.0698840e-03    1.2593095e+07    1.2593095e+07    0.0000000e+00
0165    5.0698840e-03    5.2120886e-03    5.3625009e-03    2.6725112e+06    2.6725112e+06    0.0000000e+00
0166    5.3625009e-03    5.5129132e-03    5.6720069e-03    5.4931294e+05    5.4931294e+05    0.0000000e+00
0167    5.6720069e-03    5.8311010e-03    5.9993770e-03    1.0928760e+05    1.0928760e+05    0.0000000e+00
0168    5.9993770e-03    6.1676530e-03    6.3456409e-03    2.1033242e+04    2.1033242e+04    0.0000000e+00
0169    6.3456409e-03    6.5236297e-03    6.7118909e-03    3.9133640e+03    3.9133640e+03    0.0000000e+00
0170    6.7118909e-03    6.9001522e-03    7.0992792e-03    7.0346777e+02    7.0346777e+02    0.0000000e+00
0171    7.0992792e-03    7.2984067e-03    7.5090267e-03    1.2209162e+02    1.2209162e+02    0.0000000e+00
0172    7.5090267e-03    7.7196471e-03    7.9424232e-03    2.0444769e+01    2.0444769e+01    0.0000000e+00
0173    7.9424232e-03    8.1652002e-03    8.4008342e-03    3.3007920e+00    3.3007920e+00    0.0000000e+00
0174    8.4008342e-03    8.6364690e-03    8.8857021e-03    5.1337910e-01    5.1337910e-01    0.0000000e+00
0175    8.8857021e-03    9.1349371e-03    9.3985572e-03    7.6891027e-02    7.6891027e-02    0.0000000e+00
0176    9.3985572e-03    9.6621756e-03    9.9410107e-03    1.1077436e-02    1.1077436e-02    0.0000000e+00
0177    9.9410107e-03    1.0219845e-02    1.0514773e-02    1.5337302e-03    1.5337302e-03    0.0000000e+00
0178    1.0514773e-02    1.0809702e-02    1.1121652e-02    2.0387043e-04    2.0387043e-04    0.0000000e+00
0179    1.1121652e-02    1.1433602e-02    1.1763558e-02    2.5971682e-05    2.5971682e-05    0.0000000e+00
0180    1.1763558e-02    1.2093512e-02    1.2442512e-02    3.1749412e-06    3.1749412e-06    0.0000000e+00
0181    1.2442512e-02    1.2791511e-02    1.3160652e-02    3.7155536e-07    3.7155536e-07    0.0000000e+00
0182    1.3160652e-02    1.3529795e-02    1.3920243e-02    4.1516746e-08    4.1516746e-08    0.0000000e+00
0183    1.3920243e-02    1.4310690e-02    1.4723673e-02    4.4226893e-09    4.4226893e-09    0.0000000e+00
0184    1.4723673e-02    1.5136656e-02    1.5573476e-02    4.4818402e-10    4.4818402e-10    0.0000000e+00
0185    1.5573476e-02    1.6010294e-02    1.6472325e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0186    1.6472325e-02    1.6934358e-02    1.7423056e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0187    1.7423056e-02    1.7911753e-02    1.8428657e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0188    1.8428657e-02    1.8945562e-02    1.9492300e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0189    1.9492300e-02    2.0039037e-02    2.0617332e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0190    2.0617332e-02    2.1195624e-02    2.1807296e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0191    2.1807296e-02    2.2418967e-02    2.3065943e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0192    2.3065943e-02    2.3712916e-02    2.4397234e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00
0193    2.4397234e-02    2.5081549e-02    2.5805362e-02    0.0000000e+00    0.0000000e+00    0.0000000e+00
